Customer_ID,product_id,comment,time_use,cmt_id
231,55," Đơn đầu tiên mua tại Tiki, rất hài lòng, đặt hôm trước hôm sau giao luôn, mua lần đầu nên giá cũng đc giảm kha khá. Còn chất lượng thì hoàn toàn tin tưởng, mong rằng sẽ có nhiều trải nghiệm tốt với Tiki... Xem thêm",Đánh giá vào 2 năm trước Đã dùng 5 giờ,243
232,55,"Chưa dùng nhưng mà nhìn đóng gói cẩn thận, bịt nắp miệng các thứ. Chẽck mã vạch có ra",Đánh giá vào 2 năm trước Đã dùng 6 ngày,244
233,55,"ok, đặt hôm trước. Hôm sau đã nhận được hàng. Sản phẩm tốt, được khuyến mãi ok",Đánh giá vào 2 năm trước Đã dùng 12 phút,245
234,55,Làm sạch da mặt không gây kích ứng da,Đánh giá vào 1 năm trước Đã dùng 6 giờ,246
235,55,"Giao hàng nhanh ạ, mình đặt tối hôm qua nay đã nhận hàng. Sữa rửa mặt thì dịu nhẹ nên không lo bị kích ứng gì cả",Đánh giá vào 2 năm trước Đã dùng 1 giờ,247
236,55,ok,Đánh giá vào 2 năm trước Đã dùng 1 tháng,248
237,61," Mua được đơn tốt quá luôn ạ. Mua 2 em full size 50ml được tặng 15 bé mini size 10ml. Chất kem không quá đặc, dễ tán, vị cam quýt dễ chịu. Hàng Laneige lành tính, mình đã dùng đồ của hãng được mấy năm... Xem thêm",Đánh giá vào 2 năm trước Đã dùng 1 ngày,249
238,61,"Mua 1 tặng 1, mùa dịch nên order đợi hơi lâu, nhưng nhận được hàng gói kĩ, hàng mới đẹp, okay lắm ạ, mua đi ạ 😂",Đánh giá vào 2 năm trước Đã dùng 7 ngày,250
239,61,"Mua 1 đơn mà Tiki giao làm 2 đợt.
Hàng đóng gói cẩn thận (quà thì gói hơi sơ sài, mà vẫn chấp nhận được).
Sản phẩm có hương tinh dầu cam quýt. Chất lượng thì phải dùng lâu dài mới biết được.",Đánh giá vào 2 năm trước Đã dùng 9 ngày,251
240,61,"san phẩm giao đong gói tốt,gif tăng kem rất ok.rât hai lòng...sản phẩm dưỡng ẩm cho da khô và hỗn hợp  giao nhanh, sản phẩm chính hãng thơm rất thích, xài đc cả năm",Đánh giá vào 2 năm trước Đã dùng 5 ngày,252
241,61,"Sản phẩm được đóng gói rất chu đáo, cẩn thận. Tiki giao hàng rất nhanh. Chất lượng sản phẩm thì cần dùng thêm một thời gian nữa mới có thể nhận xét",Đánh giá vào 14 ngày trước Đã dùng 11 ngày,253
242,61,"Mình mới nhận được hàng đúng nguyên mẫu, kèm theo quà tặng.Minh mua có nhiêu đây thôi.I like so much",Đánh giá vào 1 tháng trước Đã dùng 2 ngày,254
243,61," chất kem đặc, mùi thơm dịu, khá giống mùi cam chanh vỏ bưởi hoà lẫn vào nhau, thoa lê da k thấm ngay mà giống như vẫm còn 1 lớp màng tồn tại trên bề mặt da vậy, tuy nhiên dù mình da dầu thì sáng ngủ dậy... Xem thêm",Đánh giá vào 2 năm trước Đã dùng 1 tháng,255
244,61,Giao hàng nhanh. Đặt hôm trước hôm sau đã nhận hàng. Chất lượng phải dùng mới biết nhưng đã sử dụng sản phẩm khác của hãng nên có thể yên tâm về chất lượng,Đánh giá vào 2 năm trước Đã dùng 4 giờ,256
245,61,"Kem dưỡng radian thì thơm khỏi bàn rùi. 
Có điều sample SRM đc tặng thì mini size hơn tưởng tượng, nhận hàng mà 2vkck cứ cười 🤣🤣",Đánh giá vào 2 năm trước Đã dùng 1 ngày,257
246,61,"Mùi thơm, chất kem đặc nhưng thấm nhanh, hiệu quả làm mịn và trắng da tương đối rõ rệt, vì trc dùng sample thích nên mua luôn hũ lớn để xài",Đánh giá vào 1 năm trước Đã dùng 1 ngày,258
