Customer_ID,product_id,comment,time_use,cmt_id
1,0," tiki giao hàng siêu nhanh.đóng gói sp kỹ nhưng tới tay mình thì cái thùng nó méo mó thấy ớ.n.dùng xong thấy da mềm mịn thật, nhưng mn có bị nhớt nhớt lúc rửa mặt giống mình k, phải rửa nước lại hơi lâu... Xem thêm",Đánh giá vào 2 năm trước Đã dùng 3 giờ,1
2,0,chất lương k bt như nào nhưng ms nhận hàng thì thấy hàng khá giống mua ở siêu thị.....,Đánh giá vào 2 năm trước Đã dùng 6 giờ,2
3,0,"đóng gói hơi sơ sài. Mình dùng thử rồi cũng okela, ko có mùi.",Đánh giá vào 2 năm trước Đã dùng 1 ngày,3
4,0," Sữa rửa mặt này rất dịu nhẹ, phù hợp cho mọi loại da, nhưng chỉ dừng ở bước làm sạch bình thường thôi. Nếu ở môi trường nhiều bụi thì cần thêm tẩy trang nữa.
Giao hàng siêu nhanh dù mình đặt giao tiết... Xem thêm",Đánh giá vào 5 tháng trước Đã dùng 13 phút,4
5,0,mua lần đầu dùng thử xem sao thấy quảng cáo dịu nhẹ hi vọng hợp với da của mình,Đánh giá vào 2 năm trước Đã dùng 4 phút,5
6,0,tốt dành cho mấy bạn da mụn,Đánh giá vào 2 năm trước Đã dùng 5 ngày,6
7,0, Mình đang dùng sữa rửa mặt nhà centaphil nhưng thấy e này đc nhắc đến khá nhiều về độ lành tính dịu nhẹ nên mình dùng thử. Khá bất ngờ khi e này ko có mùi hương sau khi rửa xong cũng không có hiện tượng... Xem thêm,Đánh giá vào 1 năm trước Đã dùng 3 giờ,7
8,0,"Srm Simple dùng rất thích, da mình không kén srm lắm. Hôm mình đặt 9.9 còn được tặng thêm chai toner khá to. Chất lượng sản phẩm toẹt dời luôn ạ. Vote 5 * plus cho tiki",Đánh giá vào 1 năm trước Đã dùng 5 giờ,8
9,0,Giao hàng nhanh. Đóng gói cẩn thận. Mình dùng mẫu cũ lâu rồi. Rất ổn cho da. Mẫu mới này không biết sao. Hi vọng chất lượng như nhau. Xin cảm ơn shop.,Đánh giá vào 1 năm trước Đã dùng 9 phút,9
10,0,"bọc hàng hơi sơ sài. mình sợ giao ra miền Bắc nó bọp ra mất, may k sao.",Đánh giá vào 2 năm trước Đã dùng 2 ngày,10
