link,name,comment,num_review,num_thanks,date_attend,time_use
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Hoang Nhung,Thương hiệu uy tín và sản phẩm phù hợp với mình,"Đã viết
44 Đánh giá","Đã nhận
7 Lượt cảm ơn",Đã tham gia 4 năm,Đánh giá vào 1 năm trướcĐã dùng 10 ngày
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Châu Lê,"Sản phẩm tốt lắm nha, làm da mình tốt hẳn. Còn được tặng miếng black tea dùng thử","Đã viết
95 Đánh giá","Đã nhận
20 Lượt cảm ơn",Đã tham gia 10 năm,Đánh giá vào 2 tháng trướcĐã dùng 3 ngày
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,TRẦN THỊ NGỌC DIỄM,"Mình xài đc 1 tuýp srm này rồi, mình là loại da siêu nhạy cảm. Srm rất nhẹ nhàng, dễ tạo bọt, mùi dễ chịu, rửa sạch mặt. Mình sẽ dùng em này mãi luôn","Đã viết
1 Đánh giá","Đã nhận
0 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 8 tháng trướcĐã dùng 1 giờ
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Dưong Thị Kim Ánh,"Hàng cùa Innisfree thì uy tín khỏi phải bàn rồi ạ, dịu nhẹ, lành tính, dùng được cả cho da nhạy cảm","Đã viết
22 Đánh giá","Đã nhận
0 Lượt cảm ơn",Đã tham gia 4 năm,Đánh giá vào 1 năm trướcĐã dùng 1 giờ
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Phạm Thị Cẩm Vân,Giao hàng nhanh. Đóng gói tốt. Sản phẩm mùi dễ chịu. Không gây kích ứng da. Hài lòng.,"Đã viết
313 Đánh giá","Đã nhận
6 Lượt cảm ơn",Đã tham gia 3 năm,Đánh giá vào 1 năm trướcĐã dùng 8 giờ
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Hồ Phương Đài,"Sản phẩm chất lượng, làm sạch không gây cảm giác khô căng.","Đã viết
36 Đánh giá","Đã nhận
1 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 9 tháng trướcĐã dùng 5 ngày
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Thuy,"Shop.giao nhanh
Giao đúng hàng
Giao đủ hàng
Gói cẩn thận
Cam ơn b","Đã viết
107 Đánh giá","Đã nhận
10 Lượt cảm ơn",Đã tham gia 9 năm,Đánh giá vào 1 năm trướcĐã dùng 1 tháng
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Huyen Vu,,"Đã viết
243 Đánh giá","Đã nhận
8 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 1 năm trướcĐã dùng 1 giờ
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Thảo Phương,Sản phẩm chất lượng,"Đã viết
82 Đánh giá","Đã nhận
3 Lượt cảm ơn",Đã tham gia 5 năm,Đánh giá vào 9 tháng trướcĐã dùng 3 ngày
https://tka.tiki.vn/pixel/pixel?data=jNH0BgeWFLJzV5qeqa0aVJGZavD0blvyX-j_LTZuydslHj-lohcdGQNBLKm1MlJt6eQ0u2A3chz8VU3sjXeDV0X4OJxZztBBz2CtbmnkpBkHEvDbRnpPUC0LeWMdfcsZWIeK-KHkoSHkRGQQGHGPNZvp2IKrWJuLE0qp2Ms5-rHzZT3bpTrYPH4OekbPDzCoMgT47Xq1Ib5ttL3m9L9afauVGZcsgsWUm4NkCzG8WNr0zobuPonVbYVuhL_0g5msnGmJWZTNDrPIbuJRp48J6GioTbny6SECrhG7-uJWn-7SukHjd6YS8YuLQZDTQMSo2rFsJmqMm0IWyjRjRiXPqXPcuJo_nFjbstPqK3ywo7Q6BNjgRAx2xN9hiJF8dVGByEsutba1ZeWtPKX7Pjzw9qqAumuGC-aRxjG8mRY8j2RmkfXGHXpN04X2NHVqzG3kSOVHCqac16HFTzTcVFGmjWazkAuryOmANlJfoS_tEsq9n0XQOQ00HpuzmjNOyMNoeSGAFH3gNXfhOyU0oLsyi590Qv7eKx8b2sqM4Y1L0Tq81L2aGrFHs5d69WSxGmnIXz01MEMjShiE2Ff1VVFzKLB3ci_HBp0Nz-9IVX0tKzABEg75htP7vd1avZ_QN91nObQz43OojoCkf1deKGpUl9pgoZosGN_dDoNR8ZGmKyJcjnmufersCD-1sVueaV3XBbsAeAmciKf3rET8QsSZorbK34K_NoaMwFmtVuQhPR3fnU0ntj2jYPyHbs6L0fugraad9z5WElxFjIpFsxIHwzOkFRnp6loIHnnGxi0ifHNUNBbKp75rtDqlTAVx-cU3-jF2uNnTAJaqdoe8xNt19N9yFqtxMcPaD5QQSB5-sGAkThfGM64-VR2kJX-VLpbq8VlUjR-82Ovh_eevnu2ITyUvUsjweQE8WjZmkksvFvGIHtuxoDi3ok4XfgyJe7HOKK3SBKTqnxnrYWELcH9ClV8uVtVMzpltx702nkzEiNM3H1pN42rMl79ajNEooCUfs5Ho9qUptXMj7nD9vhRRYBLNAr9y3lIxhl0noRCIaGZCfNaqsW5RG0_hEBx9MceaeiOfZeFSntU&reqid=ROnN44mwLsHWmVrz&type=CLICK&pos=1,Nguyễn Tuấn,"Bao bì đẹp, srm dùng rất thích. Nên mua nhé.","Đã viết
5 Đánh giá","Đã nhận
0 Lượt cảm ơn",Đã tham gia 2 năm,Đánh giá vào 1 năm trướcĐã dùng 1 ngày
